gene,spearman_r,p_value,n_samples
CLPP,-0.0021890061232544425,0.9717081355724353,265
ALKBH7,-0.052006065051105554,0.39913557456332516,265
PSPN,0.040644771818082494,0.5100284053315117,265
DENND1C,-0.029836130889560556,0.6287346022969946,265
MED6,-0.042395267361336045,0.49196205875293963,265
PRKD1,-0.047759283544346935,0.438793925256429,265
LCP2,0.040561583781582325,0.5108954724614664,265
CSE1L,0.06618704580038434,0.28303281772527045,265
NAA20,0.048272921304597975,0.43388096927239606,265
PRKRA,0.05150564709510454,0.4036940460428451,265
FKBP7,-0.04789535079784721,0.4374893538666006,265
PLEKHA3,0.0631136025293781,0.30603417685845186,265
YKT6,-0.03304177220306707,0.5923147842649171,265
BAZ1B,0.01720025506628491,0.7804774749702088,265
PEX6,-0.010279203890020863,0.8677267432880361,265
MEA1,-0.01590535911828228,0.7966285593442795,265
GNMT,0.02694002645605468,0.6624319551055862,265
GRIN2D,-0.06692058371913583,0.27771991686194303,265
KDELR1,-0.12988909083601363,0.03456597111847841,265
TMEM143,0.06342410671212872,0.30365597617978146,265
GGCT,0.019265768871789102,0.7549110311145433,265
JAG2,-0.039231542500329626,0.5248617650384559,265
BTBD6,0.05125769515685403,0.4059641576724189,265
NUDT14,0.00315824347875641,0.9591904023421123,265
EPDR1,-0.012472724092775314,0.839846934182918,265
